,artist,credits,key,status,title
267,The Controllers,"{'artist': ['The Controllers'], 'credit': ['\n                            Primary Artist                        ']}",The Controllers - Next In Line,good,Next In Line
268,Stone City Band,"{'artist': ['Oscar Alston', 'Rick James', 'Tom McDermott', 'Levi Ruffin Jr.', 'Stone City Band'], 'credit': ['\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Primary Artist                        ']}",Stone City Band - In 'n' Out,good,In 'n' Out
269,Harold Melvin And The Blue Notes,"{'artist': ['Al Alberts', 'Al Alberts, Jr.', 'Daryl Burgee', 'Bobby Dukes', 'Kenny Gamble', 'Michael Horton', 'Leon Huff', 'Kenny Jackson', 'K. McCord', 'Gene McFadden', 'Harold Melvin', 'Harold Melvin & the Blue Notes', 'James Mitchell', 'Joni Mitchell', 'Leon Mitchell', 'Amina Claudine Myers', 'George Osaki', 'Sharon Paige', 'John Whitehead', 'George Williams', 'Zach Zachary'], 'credit': ['\n                            Engineer                        ', '\n                            Engineer                        ', '\n                            Congas,  Drums                        ', '\n                            Piano                        ', '\n                            Composer                        ', '\n                            Piano                        ', '\n                            Composer                        ', '\n                            Guitar                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer,  Mixing,  Primary Artist,  Wood Block                        ', '\n                            Performer,  Primary Artist                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Arranger,  Conductor                        ', '\n                            Composer                        ', '\n                            Art Direction                        ', '\n                            Primary Artist                        ', '\n                            Composer                        ', '\n                            Organizer                        ', '\n                            Saxophone                        ']}",Harold Melvin And The Blue Notes - The Blue Album,good,The Blue Album
270,Roberta Flack Featuring Donny Hathaway,"{'artist': ['Jack Adelman', 'Eluriel Tinker Barfield', 'Errol Crusher Bennett', 'Hiram Bullock', 'Ray Chew', 'Billy Cobham', 'J. Fred Coots', 'Carlo Donida', 'Joel Dorn', 'Jimmy Douglass', 'Joe Farrell', 'Basil Fearrington', 'Joe Ferla', 'Roberta Flack', 'Ronnie Foster', 'Eric Gale', 'Joe Gentle', 'Paul Griffin', 'Hélene Guétary', 'Gwen Guthrie', 'Lewis Hahn', 'Donny Hathaway', 'Jimmy Holiday', 'Anthony Jackson', 'Jack Jennings', 'Raymond Jones', 'Carole King', 'Howard King', 'Hubert Laws', 'Will Lee', 'Jerry Leiber', 'Sam M. Lewis', 'Yvonne Lewis', 'Howie Lindeman', 'John Littlejohn', 'Joe Lopes', 'Ralph MacDonald', 'Barry Mann', 'Arif Mardin', 'Pat Martin', 'Aric Mercury', 'Eric Mercury', 'Merle Miller', 'Eleanore Mills', 'Jeff Mironov', 'Mogol Audio 2', 'Armando Noriega', 'Paul Northfield', 'Gary Olazabal', 'Gene Paul', 'Bernard ""Pretty"" Purdie', 'Chuck Rainey', 'Revelation', 'Paul Riser', 'William Salter', 'Ronnie Shannon', 'Jocelyn Shaw', 'Phil Spector', 'David Spinozza', 'Mike Stoller', 'John Tropea', 'Luther Vandross', 'Ed Walsh', 'Bobby Warner', 'Cynthia Weil', 'Harry Whitaker', 'Brenda White'], 'credit': ['\n                            Mastering                        ', '\n                            Bass                        ', '\n                            Percussion                        ', '\n                            Guitar                        ', '\n                            Horn,  Keyboards,  Strings                        ', '\n                            Drums                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Piano,  Producer,  Vocals                        ', '\n                            Engineer                        ', '\n                            Sax (Soprano),  Saxophone                        ', '\n                            Bass                        ', '\n                            Producer                        ', '\n                            Arranger,  Composer,  Keyboards,  Organ,  Piano,  Piano (Electric),  Primary Artist,  Producer,  Synthesizer,  Vocals,  Vocals (Background)                        ', '\n                            Synthesizer                        ', '\n                            Guitar                        ', '\n                            Flute                        ', '\n                            Keyboards                        ', '\n                            Illustrations                        ', '\n                            Arranger,  Vocals (Background)                        ', '\n                            Engineer                        ', '\n                            Performer,  Piano,  Piano (Electric),  Primary Artist,  Vocals                        ', '\n                            Composer                        ', '\n                            Bass                        ', '\n                            Vibraphone,  Vocals (Background)                        ', '\n                            Keyboards                        ', '\n                            Composer                        ', '\n                            Drums                        ', '\n                            Flute                        ', '\n                            Bass                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Vocals (Background)                        ', '\n                            Engineer                        ', '\n                            Guitar,  Vocals                        ', '\n                            Engineer                        ', '\n                            Composer,  Percussion,  Producer                        ', '\n                            Composer                        ', '\n                            Arranger,  Producer,  Strings                        ', '\n                            Engineer                        ', '\n                            Producer                        ', '\n                            Producer,  Vocals (Background)                        ', '\n                            Vocals (Background)                        ', '\n                            Vocals (Background)                        ', '\n                            Guitar                        ', '\n                            Composer                        ', '\n                            String Arrangements                        ', '\n                            Engineer                        ', '\n                            Engineer                        ', '\n                            Engineer                        ', '\n                            Drums                        ', '\n                            Bass,  Bass (Electric)                        ', '\n                            Vocals (Background)                        ', '\n                            String Arrangements                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Vocals (Background)                        ', '\n                            Composer                        ', '\n                            Guitar                        ', '\n                            Composer                        ', '\n                            Guitar                        ', '\n                            Arranger,  Vocals (Background)                        ', '\n                            Synthesizer                        ', '\n                            Engineer                        ', '\n                            Composer                        ', '\n                            Keyboards                        ', '\n                            Vocals (Background)                        ']}",Roberta Flack Featuring Donny Hathaway - Roberta Flack Featuring Donny Hathaway,good,Roberta Flack Featuring Donny Hathaway
271,Lipps Inc.,"{'artist': ['Lipps, Inc.'], 'credit': ['\n                            Primary Artist                        ']}",Lipps Inc. - Mouth To Mouth,good,Mouth To Mouth
272,Kleeer,"{'artist': ['The Brecker Brothers', 'Michael Brecker', 'Randy Brecker', 'Isabelle Coles', 'Paul Crutchfield', 'Woody Cunningham', 'Eddie Daniels', 'Bob Defrin', 'Terry Dolphin', 'Norman Durham', 'Jon Faddis', 'Yvette Flowers', 'Carlos Franzetti', 'Dennis King', 'Kleeer', 'Richard Lee', 'Richard Lee', 'Scott Litt', 'Eddie Martinez', 'Melanie Moore', 'Gene Orloff', 'Alan Raph', 'Garry Rindfuss', 'Peter Robbins', 'Eric Rohrbaugh', 'Pater Sato', 'Louis Small', 'Carole Sylvan', 'Lisa Tanner', 'Brooks Tillotson', 'Raymond Willhard'], 'credit': ['\n                            Additional Personnel,  Guest Artist                        ', '\n                            Sax (Tenor),  Saxophone,  Soloist                        ', '\n                            Trumpet                        ', '\n                            Vocals,  Vocals (Background)                        ', '\n                            Composer,  Congas,  Group Member,  Percussion,  Vocals,  Vocals (Background)                        ', '\n                            Composer,  Drums,  Group Member,  Horn Arrangements,  Percussion,  String Arrangements,  Vocal Arrangement,  Vocals,  Vocals (Background)                        ', '\n                            Sax (Alto),  Saxophone                        ', '\n                            Art Direction                        ', '\n                            Clavinet,  Fender Rhodes,  Keyboards,  Piano (Grand)                        ', '\n                            Arp Omni,  Arp Pro Soloist,  Bass,  Clavinet,  Composer,  Fender Rhodes,  Group Member,  Guitar,  Guitar (Bass),  Harpsichord,  Keyboards,  Member of Attributed Artist,  Percussion,  String Arrangements,  Synthesizer,  Vocals,  Vocals (Background)                        ', '\n                            Additional Personnel,  Guest Artist,  Trumpet                        ', '\n                            Vocals (Background)                        ', '\n                            Horn Arrangements,  Horn Conductor,  String Arrangements,  String Conductor                        ', '\n                            Mastering,  Mastering Engineer,  Producer                        ', '\n                            Audio Production,  Primary Artist,  Producer                        ', '\n                            Guitar,  Member of Attributed Artist,  Percussion,  Vocals (Background)                        ', '\n                            Group Member,  Guitar,  Percussion,  Vocals (Background)                        ', '\n                            Engineer                        ', '\n                            Guitar                        ', '\n                            Vocals (Background)                        ', '\n                            Concert Master                        ', '\n                            Trombone                        ', '\n                            Assistant Engineer                        ', '\n                            Engineer                        ', '\n                            Arp Omni,  Clavinet,  Fender Rhodes,  Keyboards,  Mini Moog                        ', '\n                            Cover Illustration                        ', '\n                            Fender Rhodes,  Keyboards                        ', '\n                            Vocals (Background)                        ', '\n                            Photography                        ', '\n                            French Horn                        ', '\n                            Assistant Engineer                        ']}",Kleeer - Winners,good,Winners
273,Mass Production,"{'artist': ['Mass Production'], 'credit': ['\n                            Primary Artist                        ']}",Mass Production - Massterpiece,good,Massterpiece
274,Spyro Gyra,"{'artist': ['Michael Barry', 'Rubens Bassini', 'Jay Beckenstein', 'Randy Brecker', 'Hiram Bullock', 'Richard Calandra', 'Chet Catallo', 'Peter Corriston', 'Jason Corsaro', 'Peter Dimitriades', 'Lewis Eley', 'Dave Heffernan', 'Harold Kohon', 'Eli Konikoff', 'Jim Kurzdorfer', 'Kim Kurzdorfer', 'Will Lee', 'Jesse Levy', 'Charles Libove', 'Harry Lookofsky', 'Bob Ludwig', 'Bob Malach', 'Jack Malken', 'Tom ""Bones"" Malone', 'Charles McCracken', 'David Nadien', 'Steve Nathan', 'Matthew Raimondi', 'Barry Rogers', 'David Samuels', 'Alan Schulman', 'Tom Schuman', 'Richard Sortomme', 'Spyro Gyra', 'Rick Strauss', 'John Tropea', 'Gerardo Velez', 'Jeremy Wall'], 'credit': ['\n                            Engineer                        ', '\n                            Congas,  Percussion                        ', '\n                            Composer,  Fender Rhodes,  Horn Arrangements,  Percussion,  Producer,  Sax (Alto),  Saxophone,  Synthesizer                        ', '\n                            Flugelhorn,  Trumpet                        ', '\n                            Guitar,  Guitar (Acoustic),  Guitar (Electric)                        ', '\n                            Percussion,  Producer,  Tambourine                        ', '\n                            Composer,  Guitar,  Guitar (Electric),  Guitar (Rhythm)                        ', '\n                            Art Direction,  Design                        ', '\n                            Assistant Engineer                        ', '\n                            Violin                        ', '\n                            Violin                        ', '\n                            Illustrations                        ', '\n                            Violin                        ', '\n                            Composer,  Drums                        ', '\n                            Composer                        ', '\n                            Bass,  Composer                        ', '\n                            Bass                        ', '\n                            Cello                        ', '\n                            Violin                        ', '\n                            Concert Master,  Violin                        ', '\n                            Mastering                        ', '\n                            Sax (Tenor)                        ', '\n                            Engineer                        ', '\n                            Trombone                        ', '\n                            Cello                        ', '\n                            Violin                        ', '\n                            Clavinet                        ', '\n                            Violin                        ', '\n                            Trombone                        ', '\n                            Drums (Steel),  Marimba,  Vibraphone                        ', '\n                            Cello                        ', '\n                            Composer,  Effects,  Fender Rhodes,  Keyboards,  Piano,  Synthesizer                        ', '\n                            Violin                        ', '\n                            Primary Artist                        ', '\n                            Guitar                        ', '\n                            Guitar,  Guitar (Electric),  Guitar (Rhythm)                        ', '\n                            Bongos,  Composer,  Percussion                        ', '\n                            Assistant Producer,  Composer,  Conductor,  Effects,  Horn Arrangements,  Keyboards,  Percussion,  String Arrangements,  Synthesizer,  Synthesizer Strings                        ']}",Spyro Gyra - Catching The Sun,good,Catching The Sun
275,Randy Brown,"{'artist': ['Homer Banks', 'Chuck Brooks', 'Randy Brown', 'W. Brown', 'Bobby Bryant', 'William Green', 'Carl Hampton', 'Roger Hawkins', 'John Gary Williams', 'Bob Zimmitti'], 'credit': ['\n                            Composer                        ', '\n                            Guitar                        ', '\n                            Primary Artist,  Vocals                        ', '\n                            Composer                        ', '\n                            Trumpet                        ', '\n                            Saxophone                        ', '\n                            Composer                        ', '\n                            Drums                        ', '\n                            Composer                        ', '\n                            Percussion                        ']}",Randy Brown - Midnight Desire,good,Midnight Desire
276,GQ,"{'artist': ['Larkin Arnold', 'Carla Bandini', 'Tony Calvert', 'Donald Cleveland', 'Keith Crier', 'Lisa Daurio', 'Donn Davenport', 'John Ford', 'Kevin Goins', 'GQ', 'Doug Grinbergs', 'Gerard Huerta', 'Michael Hutchinson', 'Herb Lane', 'Emmanuel Rahiem LeBlanc', 'Tony Lopez', 'Webster McKnight', 'Craig Michaels', 'Matt Murphy', 'John Potoker', 'Stew Romaine', 'Paul Service', 'Jimmy Simpson', 'Billy Stewart', 'Jimmy Stewart', 'Barbara Tiesi', 'Steve Toos', 'Maria Triana', 'Matthew Weiner', 'Roger Williams'], 'credit': ['\n                            Executive Producer                        ', '\n                            Assistant Engineer                        ', '\n                            Reissue Producer                        ', '\n                            Reissue Producer                        ', '\n                            Bass,  Composer,  Vocals                        ', '\n                            Stylist                        ', '\n                            Art Direction                        ', '\n                            Photography                        ', '\n                            Liner Notes                        ', '\n                            Primary Artist                        ', '\n                            Assistant Engineer                        ', '\n                            Logo Design                        ', '\n                            Engineer                        ', '\n                            Composer,  Keyboards,  Vocals                        ', '\n                            Composer,  Guitar,  Guitar (Rhythm),  Vocals                        ', '\n                            Direction,  Management                        ', '\n                            Hair Stylist                        ', '\n                            Assistant Engineer                        ', '\n                            Production Manager                        ', '\n                            Assistant Engineer                        ', '\n                            Mastering Engineer                        ', '\n                            Composer,  Drums,  Vocals                        ', '\n                            Mixing                        ', '\n                            Composer                        ', '\n                            Producer                        ', '\n                            Studio Coordinator                        ', '\n                            Engineer                        ', '\n                            Mastering                        ', '\n                            Assistant Engineer                        ', '\n                            Package Design                        ']}",GQ - Two,good,Two
277,Jermaine Jackson,"{'artist': ['Maureen Bailey', 'Jim Foelber', 'Hazel Jackson', 'Jermaine Jackson', 'Phyllis Molinary', 'Stevie Wonder'], 'credit': ['\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Bass,  Keyboards,  Percussion,  Primary Artist,  Producer,  Vocals                        ', '\n                            Composer                        ', '\n                            Composer,  Drums,  Guitar,  Keyboards,  Producer                        ']}",Jermaine Jackson - Let's Get Serious,good,Let's Get Serious
278,David Sanborn,"{'artist': ['Ray Bardani', 'Ronnie Bauch', 'Hiram Bullock', 'Michael Colina', 'Julian Fifer', 'Guillermo Figueroa', 'Steve Gadd', 'David Gahr', 'Aram Gesar', 'Don Grolnick', 'Naimy Hackett', 'William Henry', 'Ben Hudson', 'Neil Jason', 'Joanna Jenner', 'Katherine Jewell', 'Danny Kortchmar', 'David Lasley', 'How Liang-Ping', 'Jody Linscott', 'Ralph MacDonald', 'Mike Mainieri', 'Michael Manieri', 'George Marino', 'Rick Marotta', 'Arnold McCuller', 'Michael McDonald', 'Marcus Miller', 'Jeff Mironov', 'Giorgio Moroder', 'Rob Mounsey', 'Basil Pao', 'David Sanborn', 'Paul Shaffer', 'Richard Sher', 'John Simon', 'David Spinozza', 'Bette Sussman', 'James Taylor', 'Richard Wachtel', 'Waddy Wachtel', 'Ruth Waterman', 'Buddy Williams', 'Carol Zeavin'], 'credit': ['\n                            Cabassa,  Cowbell,  Engineer,  Hi Hat,  Mixing,  Percussion,  Producer,  Tambourine                        ', '\n                            Violin                        ', '\n                            Guest Artist,  Guitar,  Guitar (Electric),  Vocals                        ', '\n                            Composer,  Crumar,  Fender Rhodes,  Piano,  Polymoog,  Producer,  String Arrangements,  Strings,  Synthesizer                        ', '\n                            Cello                        ', '\n                            Violin                        ', '\n                            Drums,  Guest Artist                        ', '\n                            Portraits                        ', '\n                            Photography                        ', '\n                            Clavinet,  Fender Rhodes,  Keyboards                        ', '\n                            Vocals (Background)                        ', '\n                            Violin                        ', '\n                            Violin                        ', '\n                            Bass,  Fretless Bass                        ', '\n                            Violin                        ', '\n                            Coordination                        ', '\n                            Guitar                        ', '\n                            Vocals (Background)                        ', '\n                            Violin                        ', '\n                            Cabassa,  Congas,  Cowbell                        ', '\n                            Congas,  Finger Cymbals,  Percussion,  Triangle                        ', '\n                            Marimba,  Vibraphone                        ', '\n                            Marimba,  Vibraphone                        ', '\n                            Mastering                        ', '\n                            Drums                        ', '\n                            Vocals (Background)                        ', '\n                            Composer                        ', '\n                            Bass                        ', '\n                            Guitar (Acoustic),  Guitar (Electric)                        ', '\n                            Composer                        ', '\n                            Piano (Electric)                        ', '\n                            Art Direction,  Design                        ', '\n                            Composer,  Fender Rhodes,  Handclapping,  Keyboards,  Primary Artist,  Sax (Alto),  Sax (Soprano),  Sax (Tenor),  Saxophone                        ', '\n                            Fender Rhodes                        ', '\n                            Cello                        ', '\n                            Executive Producer                        ', '\n                            Guitar,  Guitar (Acoustic),  Guitar (Electric)                        ', '\n                            Vocals (Background)                        ', '\n                            Guest Artist,  Vocals,  Vocals (Background)                        ', '\n                            Guitar                        ', '\n                            Guitar (Electric)                        ', '\n                            Violin                        ', '\n                            Drums                        ', '\n                            Violin                        ']}",David Sanborn - Hideaway,good,Hideaway
279,The Fatback Band,error,The Fatback Band - Hot Box,error,Hot Box
280,The Isley Brothers,"{'artist': ['George Carnell', 'Tom Edmonds', 'Chris Eselgroth', 'Jeremy Holiday', 'Jim Houghton', 'The Isley Brothers', 'Ernie Isley', 'Marvin Isley', ""O'Kelly Isley"", 'Ronald Isley', 'Rudolph Isley', 'Chris Jasper', 'Stan Kalina', 'Joseph M. Palmaccio', 'Frank Ursoleo'], 'credit': ['\n                            Assistant Engineer                        ', '\n                            Engineer                        ', '\n                            Redesign                        ', '\n                            Liner Notes                        ', '\n                            Photography                        ', '\n                            Performer,  Primary Artist,  Vocals                        ', '\n                            Arranger,  Audio Production,  Composer,  Congas,  Drums,  Guitar,  Member of Attributed Artist,  Percussion,  Producer,  Timbales                        ', '\n                            Arranger,  Audio Production,  Bass,  Composer,  Member of Attributed Artist,  Percussion,  Producer                        ', '\n                            Arranger,  Audio Production,  Composer,  Member of Attributed Artist,  Producer,  Vocals                        ', '\n                            Arranger,  Audio Production,  Composer,  Member of Attributed Artist,  Producer,  Vocals                        ', '\n                            Arranger,  Audio Production,  Composer,  Member of Attributed Artist,  Producer,  Vocals                        ', '\n                            Arranger,  Audio Production,  Composer,  Congas,  Drums,  Keyboards,  Member of Attributed Artist,  Percussion,  Producer,  Timbales                        ', '\n                            Engineer,  Mastering                        ', '\n                            Mastering                        ', '\n                            Reissue Supervisor                        ']}",The Isley Brothers - Go All The Way,good,Go All The Way
281,Ray Parker Jr. & Raydio,"{'artist': ['Jack Ashford', 'Sean Brennan', 'Ollie E. Brown', 'Tony Calvert', 'Arnell Carmichael', 'Darren Carmichael', 'Gary Coleman', 'Charles Fearing', 'Horatio Gordon', 'Bernie Grundman', 'Herbie Hancock', 'Randy Mahon', 'Matt Murphy', 'Ray Parker, Jr.', 'Ray Parker, Jr. & Raydio', 'Ken Peterson', 'Raydio', 'Gary Regester', 'Sylvester Rivers', 'Ria Lewerke Shapiro', 'Deborah Thomas', 'Larry Tolbert', 'Roger Williams'], 'credit': ['\n                            Tambourine                        ', '\n                            Remastering                        ', '\n                            Drums,  Percussion,  Special Effects                        ', '\n                            Reissue Producer                        ', '\n                            Composer,  Main Personnel                        ', '\n                            Main Personnel                        ', '\n                            Vibraphone                        ', '\n                            Main Personnel                        ', '\n                            Flute                        ', '\n                            Mastering                        ', '\n                            Composer,  Piano                        ', '\n                            Liner Notes,  Reissue Producer                        ', '\n                            Production Manager                        ', '\n                            Composer,  Engineer,  Main Personnel,  Mixing,  Primary Artist,  Producer                        ', '\n                            Primary Artist                        ', '\n                            Flugelhorn,  Trumpet                        ', '\n                            Primary Artist                        ', '\n                            Photography                        ', '\n                            String Ensemble                        ', '\n                            Art Direction,  Design                        ', '\n                            Vocals (Background)                        ', '\n                            Main Personnel                        ', '\n                            Package Design                        ']}",Ray Parker Jr. & Raydio - Two Places At The Same Time,good,Two Places At The Same Time
282,ConFunkShun,error,ConFunkShun - Spirit Of Love,error,Spirit Of Love
283,Switch,"{'artist': ['Bobby DeBarge', 'Switch'], 'credit': ['\n                            Composer                        ', '\n                            Primary Artist                        ']}",Switch - Reaching For Tomorrow,good,Reaching For Tomorrow
284,The Manhattans,"{'artist': ['Gerald Alston', 'Matt Bauer', 'Edward ""Sonny"" Bivins', 'Sean Brennan', 'Tony Calvert', 'Wallace Create', 'Bert DeCoteaux', 'Mickey Eichner', 'Darryl Ellis', 'Jack Faith', 'Leo Graham', 'Hermie Hanlon', 'Norman Harris', 'Mark Hess', 'Jeff James', 'Eddie Jones', 'Kenneth Kelley', 'Dennis Lambert', 'Estelle Levitt', 'Ruben Locke, Jr.', 'Winfred Lovett', 'James Mack', 'Randy Mahon', 'The Manhattans', 'Vincent Montana, Jr.', 'Barbara Morr', 'Matt Murphy', 'Brian Potter', 'Jerry Ragovoy', 'Paul Richmond', 'Robert Stanley Riley Sr.', 'Leo Sacks', 'Paula Scher', 'Craig Turnbull', 'Ron Tyson', 'Jack Urbant', 'Benjamin Wright'], 'credit': ['\n                            Composer                        ', '\n                            Liner Notes,  Research                        ', '\n                            Composer                        ', '\n                            Mastering                        ', '\n                            Reissue Producer                        ', '\n                            Package Design                        ', '\n                            Arranger,  Producer                        ', '\n                            Executive Producer                        ', '\n                            Composer                        ', '\n                            Arranger                        ', '\n                            Composer,  Producer                        ', '\n                            Production Coordination                        ', '\n                            Arranger,  Composer,  Producer                        ', '\n                            Illustrations                        ', '\n                            Reissue Coordination                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer,  Producer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Arranger,  Associate Producer,  Composer                        ', '\n                            Artist Coordination,  Interview Coordinator                        ', '\n                            Primary Artist                        ', '\n                            Arranger                        ', '\n                            Composer                        ', '\n                            Production Manager                        ', '\n                            Composer,  Producer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Reissue Coordination                        ', '\n                            Design                        ', '\n                            Release Coordinator                        ', '\n                            Composer                        ', '\n                            Arranger                        ', '\n                            Arranger,  Conductor                        ']}",The Manhattans - After Midnight,good,After Midnight
285,Sugarhill Gang,"{'artist': ['Craig Derry', 'Dude', 'Nate Edmonds', 'Bernard Edwards', 'Brian Horton', 'Billy Jones', 'Keith LeBlanc', 'Skip McDonald', ""Guy O'Brien"", 'John Reed', 'B. Reynolds', 'Sylvia Robinson', 'Nile Rodgers', 'Ray Smith', 'The Sugarhill Gang', 'Doug Wimbish', 'Michael Wright'], 'credit': ['\n                            Composer,  Congas,  Percussion                        ', '\n                            Artwork                        ', '\n                            Composer,  Engineer,  Keyboards,  Mixing,  Producer,  Special Effects                        ', '\n                            Composer                        ', '\n                            Drums                        ', '\n                            Engineer,  Mixing,  Producer,  Special Effects                        ', '\n                            Drums                        ', '\n                            Guitar                        ', '\n                            Composer                        ', '\n                            Concept                        ', '\n                            Composer                        ', '\n                            Composer,  Engineer,  Mixing,  Producer,  Vibraphone                        ', '\n                            Composer                        ', '\n                            Composer                        ', '\n                            Primary Artist                        ', '\n                            Bass                        ', '\n                            Composer                        ']}",Sugarhill Gang - Sugarhill Gang,good,Sugarhill Gang
286,Crown Heights Affair,"{'artist': ['Crown Heights Affair'], 'credit': ['\n                            Primary Artist                        ']}",Crown Heights Affair - Sure Shot,good,Sure Shot
287,Rodney Franklin,"{'artist': ['Masayuki Baba', 'Paul Buckmaster', 'Dr. George Butler', 'Harold Foreman', 'A. Franklin', 'Rodney Franklin', 'Vance Froat', 'Bernie Grundman', 'Don Hahn', 'Dean Holzkamp', 'Brooks Hunnicutt', 'Paul Jackson, Jr.', 'Yoshihiro Kumagai', 'Tony Lane', 'Mel Martin', 'Yoshio Matsushita', 'Randy Merritt', 'Laertes ""Doc"" Muldrow', 'Kenneth Nash', 'Mark Needham', 'Ray Pizzi', 'Lisa Roberts', 'Phyllis Saint James', 'Tony St. James', 'Seawind', 'Vincent Spaulding', 'Ian Underwood', 'Baron Wolman'], 'credit': ['\n                            Supervisor                        ', '\n                            Producer,  String Arrangements                        ', '\n                            Executive Producer                        ', '\n                            Bass,  Guitar (Bass)                        ', '\n                            Composer                        ', '\n                            Associate Producer,  Bass,  Composer,  Fender Rhodes,  Guitar (Bass),  Keyboards,  Piano (Grand),  Primary Artist,  String Arrangements,  Vocals                        ', '\n                            Engineer                        ', '\n                            Mastering                        ', '\n                            Remixing                        ', '\n                            Flute,  Sax (Soprano),  Wind                        ', '\n                            Vocals                        ', '\n                            Bass                        ', '\n                            Supervisor                        ', '\n                            Art Direction                        ', '\n                            Flute,  Sax (Soprano),  Wind                        ', '\n                            Supervisor                        ', '\n                            Drums                        ', '\n                            Assistant Engineer                        ', '\n                            Percussion                        ', '\n                            Engineer                        ', '\n                            Clarinet,  Clarinet (Bass)                        ', '\n                            Vocals                        ', '\n                            Vocals                        ', '\n                            Drums                        ', '\n                            Horn                        ', '\n                            Guitar,  Guitar (Electric)                        ', '\n                            Synthesizer                        ', '\n                            Photography                        ']}",Rodney Franklin - You'll Never Know,good,You'll Never Know
288,Earl Klugh,"{'artist': ['Bill Allen', 'Burt Bacharach', 'James Bradley, Jr.', 'David Briggs', 'Bill Burks', 'Tom Bush', 'Joel Cohen', 'Hubie Crawford', 'Stan Dacus', 'Hal David', 'Krystal Davis', 'Dr. Gibbs', 'Gene Dunlap', 'Daryl Dybka', 'Frank Floyd', 'Lloyd Green', 'Perry Hughes', 'Earl Klugh', 'Jeff Lancaster', 'Mike Leech', 'Yvonne Lewis', 'David Matthews', 'Marcus Miller', 'Greg Phillinganes', 'Don Puluse', 'Glenn Rieuf', 'Mikie Roquemore', 'David Saltman', 'Roland Wilson', 'Chip Young', 'Reggie Young'], 'credit': ['\n                            Composer                        ', '\n                            Composer                        ', '\n                            Drums                        ', '\n                            Piano,  Piano (Electric)                        ', '\n                            Artwork,  Design                        ', '\n                            Engineer,  Mixing                        ', '\n                            Engineer                        ', '\n                            Bass                        ', '\n                            Engineer                        ', '\n                            Composer                        ', '\n                            Vocals                        ', '\n                            Percussion                        ', '\n                            Drums,  Tambourine                        ', '\n                            Piano (Electric)                        ', '\n                            Vocals                        ', '\n                            Pedal Steel                        ', '\n                            Guitar (Electric)                        ', '\n                            Composer,  Guitar,  Primary Artist,  Producer                        ', '\n                            Design                        ', '\n                            Bass                        ', '\n                            Vocals                        ', '\n                            Arranger,  Conductor                        ', '\n                            Bass                        ', '\n                            Arranger                        ', '\n                            Engineer                        ', '\n                            Engineer                        ', '\n                            Clavinet,  Piano                        ', '\n                            Bass                        ', '\n                            Production Consultant                        ', '\n                            Engineer                        ', '\n                            Guitar (Electric)                        ']}",Earl Klugh - Dream Come True,good,Dream Come True
289,Two Tons Of Fun,error,Two Tons Of Fun - Two Tons Of Fun,error,Two Tons Of Fun
290,Stephanie Mills,"{'artist': ['Gene Bianco', 'Glen Christensen', 'James Dougherty', 'Hubert Eaves III', 'Basil Fearrington', 'Gwen Guthrie', 'Stanley James', 'Ted Jensen', 'Howard King', 'Reggie Lucas', 'Wade Marcus', 'Craig Michaels', 'Stephanie Mills', 'Ed Moore', 'James Mtume', 'Brenda White'], 'credit': ['\n                            Horn Conductor,  String Contractor                        ', '\n                            Art Direction,  Photography                        ', '\n                            Engineer,  Mixing                        ', '\n                            Keyboards                        ', '\n                            Bass                        ', '\n                            Vocals (Background)                        ', '\n                            Hair Stylist,  Make-Up                        ', '\n                            Mastering                        ', '\n                            Drums                        ', '\n                            Guitar,  Producer,  Rhythm Arrangements,  Vocal Arrangement,  Vocals (Background)                        ', '\n                            Horn Arrangements,  String Arrangements                        ', '\n                            Assistant Engineer                        ', '\n                            Primary Artist                        ', '\n                            Guitar                        ', '\n                            Keyboards,  Percussion,  Producer,  Rhythm Arrangements,  Vocal Arrangement,  Vocals (Background)                        ', '\n                            Vocals (Background)                        ']}",Stephanie Mills - Sweet Sensation,good,Sweet Sensation
